,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glencore PLC (GLEN LN) - By Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of GBP except Per Share,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,
Capital Expenditures,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"-2,590.3",,"-3,288.5",,"-3,874.5",,"-4,535.7",,"-3,563.2",,?,
  Marketing Activities,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-134.8,5.2%,-166.2,5.1%,-66.8,1.7%,-343.3,7.6%,-380.5,10.7%,?,
  Industrial Activities,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"-2,455.5",94.8%,"-3,122.3",94.9%,"-3,807.8",98.3%,"-4,192.4",92.4%,"-3,182.7",89.3%,?,
    Corporate & Other,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-37.0,1.4%,-35.7,1.1%,-28.5,0.7%,-58.0,1.3%,-21.8,0.6%,?,
    Energy Products,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-423.0,16.3%,-576.3,17.5%,-782.3,20.2%,"-1,028.3",22.7%,-803.9,22.6%,?,
      Oil,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-54.1,2.1%,-76.1,2.3%,-117.8,3.0%,-157.5,3.5%,-92.8,2.6%,?,
      Oil Refining Assets,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.0,,-94.8,2.1%,-97.5,2.7%,?,
      Coal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-368.9,14.2%,-500.2,15.2%,-664.5,17.2%,-775.9,17.1%,-613.6,17.2%,?,
        Cerrej¢n,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-24.4,0.9%,-41.9,1.3%,-60.8,1.6%,-41.5,0.9%,-17.2,0.5%,?,
        Prodeco,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-34.1,1.3%,-136.7,4.2%,-191.3,4.9%,-179.5,4.0%,-34.3,1.0%,?,
        Thermal South Africa,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-94.8,3.7%,-146.0,4.4%,-155.3,4.0%,-179.5,4.0%,-136.4,3.8%,?,
        Thermal Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-215.6,8.3%,-175.5,5.3%,-257.3,6.6%,-375.4,8.3%,-425.7,11.9%,?,
    Metals & Minerals,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"-1,995.5",77.0%,"-2,510.3",76.3%,"-2,997.0",77.4%,"-3,106.1",68.5%,"-2,357.0",66.1%,?,
      Aluminium/Alumina,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-0.7,0.0%,-1.6,0.0%,0.0,,0.0,,0.0,,?,
      Ferroalloys,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-84.4,3.3%,-129.7,3.9%,-120.0,3.1%,-116.8,2.6%,-89.7,2.5%,?,
      Nickel - Integrated Nickel,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-301.5,11.6%,-379.0,11.5%,-435.0,11.2%,-398.2,8.8%,-404.7,11.4%,?,
        Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-10.4,0.4%,-10.9,0.3%,-17.3,0.4%,-12.5,0.3%,-25.7,0.7%,?,
        Koniambo,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-194.8,7.5%,-187.2,5.7%,-161.3,4.2%,-30.6,0.7%,-29.6,0.8%,?,
        Integrated Nickel Operations,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-96.3,3.7%,-181.0,5.5%,-256.5,6.6%,-355.0,7.8%,-349.3,9.8%,?,
      Zinc,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-397.0,15.3%,-511.1,15.5%,-717.0,18.5%,-801.0,17.7%,-601.1,16.9%,?,
        South America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-40.7,1.6%,-59.8,1.8%,-87.0,2.2%,-81.5,1.8%,-36.6,1.0%,?,
        North America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-48.1,1.9%,-60.6,1.8%,-83.3,2.1%,-58.0,1.3%,-40.5,1.1%,?,
        European Custom Metallurgical,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-40.0,1.5%,-57.5,1.7%,-85.5,2.2%,-83.1,1.8%,-81.9,2.3%,?,
        Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-154.8,6.0%,-198.8,6.0%,-209.3,5.4%,-229.6,5.1%,-134.9,3.8%,?,
        Kazzinc,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-113.3,4.4%,-134.4,4.1%,-252.0,6.5%,-348.8,7.7%,-307.2,8.6%,?,
      Copper,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"-1,211.8",46.8%,"-1,488.9",45.3%,"-1,725.0",44.5%,"-1,790.1",39.5%,"-1,261.6",35.4%,?,
        Polymet,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.0,,-7.1,0.2%,-6.2,0.2%,?,
        Custom Metallurgical,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-96.3,3.7%,-125.0,3.8%,-153.0,3.9%,-183.4,4.0%,-112.3,3.2%,?,
        Antamina,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-143.0,5.5%,-139.8,4.3%,-156.0,4.0%,-182.6,4.0%,-148.1,4.2%,?,
        Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-131.9,5.1%,-178.6,5.4%,-180.0,4.6%,-159.1,3.5%,-162.2,4.6%,?,
        Other South America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-254.8,9.8%,-274.9,8.4%,-321.0,8.3%,-332.3,7.3%,-250.3,7.0%,?,
        Collahuasi,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-121.5,4.7%,-201.2,6.1%,-216.0,5.6%,-253.2,5.6%,-258.1,7.2%,?,
        African Copper,,?,,?,,?,,?,,?,,?,,?,,?,,?,,-464.4,17.9%,-569.3,17.3%,-699.0,18.0%,-672.5,14.8%,-324.4,9.1%,?,
Mine Production,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,
  Coal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"124,900.0",,"120,600.0",,"129,400.0",,"139,500.0",,"106,200.0",,"103,300.0",
    Australian Thermal Coal (Export),,?,,?,,?,,?,,?,,?,,?,,?,,?,,"52,500.0",,"49,100.0",,"59,400.0",,"64,200.0",,"55,700.0",,"55,900.0",
    South African Thermal Coal (Export),,?,,?,,?,,?,,?,,?,,?,,?,,?,,"17,200.0",,"18,700.0",,"17,300.0",,"13,000.0",,"14,800.0",,"14,700.0",
    Australian Coking Coal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"5,300.0",,"6,100.0",,"7,500.0",,"9,200.0",,"7,600.0",,"9,100.0",
    Cerrej¢n,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"10,700.0",,"10,600.0",,"10,200.0",,"8,600.0",,"4,100.0",,"7,800.0",
    Australian Thermal Coal (Domestic),,?,,?,,?,,?,,?,,?,,?,,?,,?,,"5,600.0",,"7,500.0",,"9,400.0",,"8,600.0",,"6,400.0",,"6,000.0",
    South African Thermal Coal (Domestic),,?,,?,,?,,?,,?,,?,,?,,?,,?,,"12,100.0",,"10,000.0",,"10,000.0",,"13,900.0",,"9,200.0",,"5,300.0",
    Australian Semi - Soft Coal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"4,200.0",,"4,000.0",,"3,900.0",,"6,400.0",,"4,600.0",,"4,500.0",
    Prodeco,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"17,300.0",,"14,600.0",,"11,700.0",,"15,600.0",,"3,800.0",,0.0,
  Copper,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"16,041.8",,"14,956.7",,"13,737.9",,"12,690.8",,"13,572.1",,"13,795.2",
    Antamina,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"6,990.3",,"6,849.7",,"5,838.7",,"5,304.8",,"5,805.1",,"6,438.7",
      Silver in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"6,778.0",,"6,579.0",,"5,550.0",,"5,051.0",,"5,535.0",,"6,135.0",
      Zinc in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,66.8,,128.1,,138.1,,102.4,,142.4,,153.7,
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,145.5,,142.6,,150.6,,151.4,,127.7,,150.0,
    Collahuasi,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,496.8",,"3,333.5",,"3,490.0",,"3,126.3",,"4,237.8",,"4,541.2",
      Silver in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,276.0",,"3,103.0",,"3,244.0",,"2,878.0",,"3,961.0",,"4,219.0",
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,220.8,,230.5,,246.0,,248.8,,276.8,,277.2,
      Gold in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,45.0,
    Other South America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,136.8",,"2,492.4",,"2,276.7",,"1,937.5",,"1,647.7",,"1,707.1",
      Silver In Concentrates & In Dore,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,366.0",,"1,821.0",,"1,722.0",,"1,576.0",,"1,298.0",,"1,382.0",
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,308.8,,245.3,,225.9,,197.6,,185.6,,170.8,
      Gold In Concentrates & In Dore,,?,,?,,?,,?,,?,,?,,?,,?,,?,,382.0,,348.0,,256.0,,85.0,,90.0,,90.0,
      Copper Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,80.0,,78.1,,72.8,,78.9,,74.1,,64.3,
    Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,139.0",,"2,018.5",,"1,683.4",,"1,909.6",,"1,549.0",,803.3,
      Silver,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,794.0",,"1,721.0",,"1,399.0",,1.6,,"1,271.0",,654.0,
      Gold,,?,,?,,?,,?,,?,,?,,?,,?,,?,,86.0,,67.0,,74.0,,100.0,,93.0,,64.0,
      Copper Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,205.1,,164.6,,151.5,,151.1,,138.8,,44.8,
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,53.9,,65.9,,58.9,,43.5,,46.2,,40.5,
    African Copper,,?,,?,,?,,?,,?,,?,,?,,?,,?,,278.9,,262.6,,449.1,,412.1,,324.9,,304.9,
      Copper Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,254.4,,236.0,,410.7,,359.3,,301.0,,277.2,
      Cobalt,,?,,?,,?,,?,,?,,?,,?,,?,,?,,24.5,,23.9,,38.4,,42.2,,23.9,,27.7,
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.0,,2.7,,0.0,,10.6,,0.0,,?,
  Zinc,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"35,180.9",,"25,533.2",,"24,443.2",,"22,365.9",,"22,387.7",,"7,509.8",
    Australia,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"9,414.8",,"7,706.4",,"7,070.3",,"8,003.9",,"8,254.3",,"8,035.0",
      Silver in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"8,741.0",,"7,114.0",,"6,362.0",,"7,193.0",,"7,404.0",,"6,521.0",
      Silver,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,625.0,
      Zinc in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,488.4,,436.0,,532.5,,597.6,,633.5,,609.4,
      Lead in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,185.4,,156.4,,175.8,,213.3,,216.8,,188.1,
      Copper Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,91.5,
    South America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"8,080.5",,"8,570.0",,"7,874.6",,"7,034.6",,"6,251.9",,"7,509.8",
      Silver in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"7,271.0",,"7,775.0",,"6,989.0",,"6,906.0",,"6,121.0",,"7,383.0",
      Zinc in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,99.0,,99.8,,95.2,,93.6,,112.3,,110.7,
      Lead in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,29.7,,41.2,,28.0,,32.3,,17.0,,14.4,
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,2.1,,3.4,,4.5,,2.7,,1.6,,1.7,
      Lead Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,12.7,,13.6,,13.9,,?,,?,,?,
      Silver Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,666.0,,637.0,,744.0,,?,,?,,?,
    Kazzinc,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"5,800.7",,"6,814.8",,"7,465.2",,"5,522.9",,"5,601.1",,"3,709.3",
      Silver,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"4,510.0",,"5,780.0",,"6,210.0",,"4,546.0",,"4,712.0",,"2,921.0",
      Gold,,?,,?,,?,,?,,?,,?,,?,,?,,?,,521.0,,585.0,,643.0,,634.0,,659.0,,595.0,
      Zinc Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,187.6,,210.5,,201.2,,172.5,,167.5,,147.9,
      Copper Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,53.9,,49.7,,52.4,,44.0,,37.0,,25.6,
      Lead Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,44.0,,52.9,,46.9,,31.6,,25.6,,19.8,
      Silver in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,469.0,,132.0,,303.0,,92.0,,0.0,,?,
      Lead in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,15.2,,4.7,,8.7,,2.8,,0.0,,?,
    North America,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,470.1",,"2,442.0",,"2,033.1",,"1,804.5",,"2,280.4",,"1,509.4",
      Silver in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"2,292.0",,"2,271.0",,"1,893.0",,"1,654.0",,"2,125.0",,"1,383.0",
      Zinc in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,130.1,,123.7,,101.1,,111.4,,114.7,,96.1,
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,48.0,,47.3,,39.0,,39.1,,40.7,,30.3,
  Oil Refining Assets,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"7,511.0",,"5,053.0",,"4,626.0",,"5,518.0",,"3,944.0",,"5,274.0",
    Gross Basis,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"22,217.0",,"15,364.0",,"12,645.0",,"14,574.0",,"14,484.0",,"23,003.0",
      Equatorial Guinea,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"16,909.0",,"11,914.0",,"8,818.0",,"9,236.0",,"10,435.0",,"20,137.0",
      Cameroon,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.0,,730.0,,"2,528.0",,"2,866.0",
      Chad,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"5,308.0",,"3,450.0",,"3,827.0",,"4,608.0",,"1,521.0",,0.0,
    Glencore Entitlement Interest Basis,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"7,511.0",,"5,053.0",,"4,626.0",,"5,518.0",,"3,944.0",,"5,274.0",
      Equatorial Guinea,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,629.0",,"2,529.0",,"1,827.0",,"1,895.0",,"1,960.0",,"4,141.0",
      Cameroon,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.0,,252.0,,872.0,,"1,133.0",
      Chad,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"3,882.0",,"2,524.0",,"2,799.0",,"3,371.0",,"1,112.0",,0.0,
  Nickel - Integrated Nickel,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,100.1",,"1,058.2",,845.0,,871.9,,664.2,,558.7,
    Integrated Nickel Operations,,?,,?,,?,,?,,?,,?,,?,,?,,?,,"1,048.4",,"1,003.9",,778.3,,808.2,,608.0,,509.1,
      Silver,,?,,?,,?,,?,,?,,?,,?,,?,,?,,624.0,,653.0,,464.0,,507.0,,339.0,,296.0,
      Palladium,,?,,?,,?,,?,,?,,?,,?,,?,,?,,173.0,,136.0,,119.0,,112.0,,101.0,,83.0,
      Nickel Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,65.6,,57.0,,59.5,,59.8,,56.5,,55.0,
      Platinum,,?,,?,,?,,?,,?,,?,,?,,?,,?,,90.0,,75.0,,58.0,,51.0,,40.0,,33.0,
      Gold,,?,,?,,?,,?,,?,,?,,?,,?,,?,,37.0,,32.0,,29.0,,29.0,,21.0,,15.0,
      Copper Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,16.6,,15.6,,14.4,,15.8,,13.5,,13.5,
      Copper In Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,34.6,,28.0,,27.0,,28.4,,15.1,,8.3,
      Rhodium,,?,,?,,?,,?,,?,,?,,?,,?,,?,,6.0,,6.0,,4.0,,4.0,,4.0,,4.0,
      Cobalt Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,1.0,,0.8,,0.9,,0.7,,0.6,,1.1,
      Nickel in Concentrates,,?,,?,,?,,?,,?,,?,,?,,?,,?,,0.6,,0.5,,0.5,,0.5,,0.4,,0.2,
    Murrin Murrin,,?,,?,,?,,?,,?,,?,,?,,?,,?,,38.1,,36.8,,38.4,,40.0,,39.3,,32.6,
      Nickel Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,35.3,,34.1,,35.5,,36.6,,36.4,,30.1,
      Cobalt Metal,,?,,?,,?,,?,,?,,?,,?,,?,,?,,2.8,,2.7,,2.9,,3.4,,2.9,,2.5,
    Koniambo,,?,,?,,?,,?,,?,,?,,?,,?,,?,,13.6,,17.5,,28.3,,23.7,,16.9,,17.0,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
